"Date","Measured Date","Depth"," ","W.C."," ","Density"
"5/2014","01-May-2014","0.0","","0.0","","0%"
"2/2015","29-Jan-2015","0.0","","0.0","","0%"
"3/2015","02-Mar-2015","2.5","","0.5","","20%"
"4/2015","02-Apr-2015","0.0","","0.0","","0%"
"5/2015","30-Apr-2015","0.0","","0.0","","0%"
"2/2016","01-Feb-2016","72.0","","25.0","","35%"
"3/2016","29-Feb-2016","64.5","","28.0","","43%"
"4/2016","31-Mar-2016","70.5","","30.5","","43%"
"5/2016","28-Apr-2016","22.0","","11.0","","50%"
"2/2017","27-Jan-2017","80.0","","23.5","","29%"
"3/2017","28-Feb-2017","89.5","","27.0","","30%"
"4/2017","28-Mar-2017","81.0","","32.5","","40%"
"5/2017","01-May-2017","60.0","","27.0","","45%"
"2/2018","27-Jan-2018","33.5","","7.0","","21%"
"3/2018","28-Feb-2018","27.0","","6.0","","22%"
"4/2018","28-Mar-2018","39.0","","14.0","","36%"
"5/2018","01-May-2018","12.5","","5.5","","44%"
"2/2019","31-Jan-2019","24.0","","7.0","","29%"
"3/2019","28-Feb-2019","106.0","","29.0","","27%"
"4/2019","26-Mar-2019","79.0","","33.0","","42%"
"5/2019","29-Apr-2019","31.5","","15.0","","48%"
"2/2020","30-Jan-2020","42.0","","15.0","","36%"
"3/2020","27-Feb-2020","33.0","","13.0","","39%"
"4/2020","02-Apr-2020","37.0","","15.0","","41%"
"5/2020","30-Apr-2020","6.0","","3.0","","50%"
"2/2021","02-Feb-2021","41.0","","11.0","","27%"
"3/2021","25-Feb-2021","52.0","","18.0","","35%"
"4/2021","29-Mar-2021","48.5","","17.5","","36%"
"5/2021","03-May-2021","10.5","","4.5","","43%"
"2/2022","01-Feb-2022","50.0","","18.5","","37%"
"3/2022","28-Feb-2022","40.0","","14.5","","36%"
"4/2022","31-Mar-2022","25.0","","10.5","","42%"
