,Date,Date,2007,,Date,2007,,Date,2008,,Date,2008,,Date,2009,,Date,2009,,Date,2010,,,2010,,,2011,,,2011,,,2012,,,2012,,,2013,,,2013,,,2014,,,2014,,,2015,,,2015,,,2016,,,2016,,,2017,,,2017,,,2018,,,2018,Date
,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,
1,1/7,1/7/2008,,,1/7/2008,,,1/7/2009,,,1/7/2009,,,1/7/2010,0,,1/7/2010,0,,1/7/2011,,,1/7/2011,,,1/7/2012,0,,1/7/2012,0,,1/7/2013,,,1/7/2013,,,1/7/2014,0,,1/7/2014,10,,1/7/2015,,,1/7/2015,,,1/7/2016,,,1/7/2016,,,1/7/2017,,,1/7/2017,,,1/7/2018,0,,1/7/2018,0,,1/7/2019,,,1/7/2019,,1/7
1,1/8,1/8/2008,,,1/8/2008,,,1/8/2009,,,1/8/2009,,,1/8/2010,0,,1/8/2010,0,,1/8/2011,,,1/8/2011,,,1/8/2012,0,,1/8/2012,0,,1/8/2013,,,1/8/2013,,,1/8/2014,0,,1/8/2014,70,,1/8/2015,,,1/8/2015,,,1/8/2016,,,1/8/2016,,,1/8/2017,,,1/8/2017,,,1/8/2018,0,,1/8/2018,0,,1/8/2019,,,1/8/2019,,1/8
1,1/9,1/9/2008,,,1/9/2008,,,1/9/2009,,,1/9/2009,,,1/9/2010,0,,1/9/2010,0,,1/9/2011,,,1/9/2011,,,1/9/2012,0,,1/9/2012,0,,1/9/2013,,,1/9/2013,,,1/9/2014,0,,1/9/2014,102,,1/9/2015,,,1/9/2015,,,1/9/2016,,,1/9/2016,,,1/9/2017,,,1/9/2017,,,1/9/2018,0,,1/9/2018,0,,1/9/2019,,,1/9/2019,,1/9
1,1/10,1/10/2008,,,1/10/2008,,,1/10/2009,,,1/10/2009,,,1/10/2010,0,,1/10/2010,0,,1/10/2011,,,1/10/2011,,,1/10/2012,0,,1/10/2012,0,,1/10/2013,,,1/10/2013,,,1/10/2014,0,,1/10/2014,177,,1/10/2015,,,1/10/2015,,,1/10/2016,,,1/10/2016,,,1/10/2017,,,1/10/2017,,,1/10/2018,0,,1/10/2018,0,,1/10/2019,,,1/10/2019,,1/10
1,1/11,1/11/2008,,,1/11/2008,,,1/11/2009,,,1/11/2009,,,1/11/2010,0,,1/11/2010,0,,1/11/2011,,,1/11/2011,,,1/11/2012,0,,1/11/2012,0,,1/11/2013,,,1/11/2013,,,1/11/2014,0,,1/11/2014,144,,1/11/2015,,,1/11/2015,,,1/11/2016,,,1/11/2016,,,1/11/2017,,,1/11/2017,,,1/11/2018,0,,1/11/2018,0,,1/11/2019,,,1/11/2019,,1/11
1,1/12,1/12/2008,,,1/12/2008,,,1/12/2009,,,1/12/2009,,,1/12/2010,,,1/12/2010,,,1/12/2011,,,1/12/2011,,,1/12/2012,,,1/12/2012,,,1/12/2013,,,1/12/2013,,,1/12/2014,0,,1/12/2014,140,,1/12/2015,,,1/12/2015,,,1/12/2016,,,1/12/2016,,,1/12/2017,,,1/12/2017,,,1/12/2018,0,,1/12/2018,0,,1/12/2019,,,1/12/2019,,1/12
1,1/13,1/13/2008,,,1/13/2008,,,1/13/2009,,,1/13/2009,,,1/13/2010,,,1/13/2010,,,1/13/2011,,,1/13/2011,,,1/13/2012,,,1/13/2012,,,1/13/2013,,,1/13/2013,,,1/13/2014,0,,1/13/2014,80,,1/13/2015,,,1/13/2015,,,1/13/2016,,,1/13/2016,,,1/13/2017,,,1/13/2017,,,1/13/2018,0,,1/13/2018,0,,1/13/2019,,,1/13/2019,,1/13
1,1/14,1/14/2008,,,1/14/2008,,,1/14/2009,,,1/14/2009,,,1/14/2010,,,1/14/2010,,,1/14/2011,,,1/14/2011,,,1/14/2012,,,1/14/2012,,,1/14/2013,,,1/14/2013,,,1/14/2014,0,,1/14/2014,43,,1/14/2015,,,1/14/2015,,,1/14/2016,,,1/14/2016,,,1/14/2017,,,1/14/2017,,,1/14/2018,0,,1/14/2018,0,,1/14/2019,,,1/14/2019,,1/14
1,1/15,1/15/2008,,,1/15/2008,,,1/15/2009,,,1/15/2009,,,1/15/2010,,,1/15/2010,,,1/15/2011,,,1/15/2011,,,1/15/2012,,,1/15/2012,,,1/15/2013,,,1/15/2013,,,1/15/2014,0,,1/15/2014,17,,1/15/2015,,,1/15/2015,,,1/15/2016,,,1/15/2016,,,1/15/2017,,,1/15/2017,,,1/15/2018,0,,1/15/2018,0,,1/15/2019,,,1/15/2019,,1/15
1,1/16,1/16/2008,,,1/16/2008,,,1/16/2009,,,1/16/2009,,,1/16/2010,,,1/16/2010,,,1/16/2011,,,1/16/2011,,,1/16/2012,,,1/16/2012,,,1/16/2013,,,1/16/2013,,,1/16/2014,0,,1/16/2014,2,,1/16/2015,,,1/16/2015,,,1/16/2016,,,1/16/2016,,,1/16/2017,,,1/16/2017,,,1/16/2018,0,,1/16/2018,0,,1/16/2019,,,1/16/2019,,1/16
1,1/17,1/17/2008,,,1/17/2008,,,1/17/2009,,,1/17/2009,,,1/17/2010,,,1/17/2010,,,1/17/2011,,,1/17/2011,,,1/17/2012,,,1/17/2012,,,1/17/2013,,,1/17/2013,,,1/17/2014,0,,1/17/2014,0,,1/17/2015,,,1/17/2015,,,1/17/2016,,,1/17/2016,,,1/17/2017,,,1/17/2017,,,1/17/2018,0,,1/17/2018,0,,1/17/2019,,,1/17/2019,,1/17
1,1/18,1/18/2008,,,1/18/2008,,,1/18/2009,,,1/18/2009,,,1/18/2010,,,1/18/2010,,,1/18/2011,,,1/18/2011,,,1/18/2012,,,1/18/2012,,,1/18/2013,,,1/18/2013,,,1/18/2014,0,,1/18/2014,1,,1/18/2015,,,1/18/2015,,,1/18/2016,,,1/18/2016,,,1/18/2017,,,1/18/2017,,,1/18/2018,0,,1/18/2018,0,,1/18/2019,,,1/18/2019,,1/18
1,1/19,1/19/2008,,,1/19/2008,,,1/19/2009,,,1/19/2009,,,1/19/2010,,,1/19/2010,,,1/19/2011,,,1/19/2011,,,1/19/2012,,,1/19/2012,,,1/19/2013,,,1/19/2013,,,1/19/2014,0,,1/19/2014,1,,1/19/2015,,,1/19/2015,,,1/19/2016,,,1/19/2016,,,1/19/2017,,,1/19/2017,,,1/19/2018,0,,1/19/2018,0,,1/19/2019,,,1/19/2019,,1/19
1,1/20,1/20/2008,,,1/20/2008,,,1/20/2009,,,1/20/2009,,,1/20/2010,,,1/20/2010,,,1/20/2011,,,1/20/2011,,,1/20/2012,,,1/20/2012,,,1/20/2013,,,1/20/2013,,,1/20/2014,0,,1/20/2014,1,,1/20/2015,,,1/20/2015,,,1/20/2016,,,1/20/2016,,,1/20/2017,,,1/20/2017,,,1/20/2018,0,,1/20/2018,0,,1/20/2019,,,1/20/2019,,1/20
1,1/21,1/21/2008,,,1/21/2008,,,1/21/2009,,,1/21/2009,,,1/21/2010,,,1/21/2010,,,1/21/2011,,,1/21/2011,,,1/21/2012,,,1/21/2012,,,1/21/2013,,,1/21/2013,,,1/21/2014,0,,1/21/2014,0,,1/21/2015,,,1/21/2015,,,1/21/2016,,,1/21/2016,,,1/21/2017,,,1/21/2017,,,1/21/2018,0,,1/21/2018,0,,1/21/2019,,,1/21/2019,,1/21
1,1/22,1/22/2008,,,1/22/2008,,,1/22/2009,,,1/22/2009,,,1/22/2010,,,1/22/2010,,,1/22/2011,,,1/22/2011,,,1/22/2012,,,1/22/2012,,,1/22/2013,,,1/22/2013,,,1/22/2014,0,,1/22/2014,-1,,1/22/2015,,,1/22/2015,,,1/22/2016,,,1/22/2016,,,1/22/2017,,,1/22/2017,,,1/22/2018,0,,1/22/2018,0,,1/22/2019,,,1/22/2019,,1/22
1,1/23,1/23/2008,,,1/23/2008,,,1/23/2009,,,1/23/2009,,,1/23/2010,,,1/23/2010,,,1/23/2011,,,1/23/2011,,,1/23/2012,,,1/23/2012,,,1/23/2013,,,1/23/2013,,,1/23/2014,0,,1/23/2014,1,,1/23/2015,,,1/23/2015,,,1/23/2016,,,1/23/2016,,,1/23/2017,,,1/23/2017,,,1/23/2018,0,,1/23/2018,0,,1/23/2019,,,1/23/2019,,1/23
1,1/24,1/24/2008,,,1/24/2008,,,1/24/2009,,,1/24/2009,,,1/24/2010,,,1/24/2010,,,1/24/2011,,,1/24/2011,,,1/24/2012,,,1/24/2012,,,1/24/2013,,,1/24/2013,,,1/24/2014,0,,1/24/2014,-1,,1/24/2015,,,1/24/2015,,,1/24/2016,,,1/24/2016,,,1/24/2017,,,1/24/2017,,,1/24/2018,0,,1/24/2018,0,,1/24/2019,,,1/24/2019,,1/24
1,1/25,1/25/2008,,,1/25/2008,,,1/25/2009,,,1/25/2009,,,1/25/2010,,,1/25/2010,,,1/25/2011,,,1/25/2011,,,1/25/2012,,,1/25/2012,,,1/25/2013,,,1/25/2013,,,1/25/2014,0,,1/25/2014,0,,1/25/2015,,,1/25/2015,,,1/25/2016,,,1/25/2016,,,1/25/2017,,,1/25/2017,,,1/25/2018,0,,1/25/2018,0,,1/25/2019,,,1/25/2019,,1/25
1,1/26,1/26/2008,,,1/26/2008,,,1/26/2009,,,1/26/2009,,,1/26/2010,,,1/26/2010,,,1/26/2011,,,1/26/2011,,,1/26/2012,,,1/26/2012,,,1/26/2013,,,1/26/2013,,,1/26/2014,0,,1/26/2014,1,,1/26/2015,,,1/26/2015,,,1/26/2016,,,1/26/2016,,,1/26/2017,,,1/26/2017,,,1/26/2018,0,,1/26/2018,0,,1/26/2019,,,1/26/2019,,1/26
1,1/27,1/27/2008,,,1/27/2008,,,1/27/2009,,,1/27/2009,,,1/27/2010,,,1/27/2010,,,1/27/2011,,,1/27/2011,,,1/27/2012,,,1/27/2012,,,1/27/2013,,,1/27/2013,,,1/27/2014,0,,1/27/2014,1,,1/27/2015,,,1/27/2015,,,1/27/2016,,,1/27/2016,,,1/27/2017,,,1/27/2017,,,1/27/2018,0,,1/27/2018,0,,1/27/2019,,,1/27/2019,,1/27
1,1/28,1/28/2008,,,1/28/2008,,,1/28/2009,,,1/28/2009,,,1/28/2010,,,1/28/2010,,,1/28/2011,,,1/28/2011,,,1/28/2012,,,1/28/2012,,,1/28/2013,,,1/28/2013,,,1/28/2014,0,,1/28/2014,0,,1/28/2015,,,1/28/2015,,,1/28/2016,,,1/28/2016,,,1/28/2017,,,1/28/2017,,,1/28/2018,0,,1/28/2018,0,,1/28/2019,,,1/28/2019,,1/28
1,1/29,1/29/2008,,,1/29/2008,,,1/29/2009,,,1/29/2009,,,1/29/2010,,,1/29/2010,,,1/29/2011,,,1/29/2011,,,1/29/2012,,,1/29/2012,,,1/29/2013,,,1/29/2013,,,1/29/2014,0,,1/29/2014,0,,1/29/2015,,,1/29/2015,,,1/29/2016,,,1/29/2016,,,1/29/2017,,,1/29/2017,,,1/29/2018,0,,1/29/2018,0,,1/29/2019,,,1/29/2019,,1/29
1,1/30,1/30/2008,,,1/30/2008,,,1/30/2009,,,1/30/2009,,,1/30/2010,,,1/30/2010,,,1/30/2011,,,1/30/2011,,,1/30/2012,,,1/30/2012,,,1/30/2013,,,1/30/2013,,,1/30/2014,0,,1/30/2014,35,,1/30/2015,,,1/30/2015,,,1/30/2016,,,1/30/2016,,,1/30/2017,,,1/30/2017,,,1/30/2018,0,,1/30/2018,0,,1/30/2019,,,1/30/2019,,1/30
1,1/31,1/31/2008,,,1/31/2008,,,1/31/2009,,,1/31/2009,,,1/31/2010,,,1/31/2010,,,1/31/2011,,,1/31/2011,,,1/31/2012,,,1/31/2012,,,1/31/2013,,,1/31/2013,,,1/31/2014,0,,1/31/2014,4,,1/31/2015,,,1/31/2015,,,1/31/2016,,,1/31/2016,,,1/31/2017,,,1/31/2017,,,1/31/2018,0,,1/31/2018,0,,1/31/2019,,,1/31/2019,,1/31
1,2/1,2/1/2008,,,2/1/2008,,,2/1/2009,,,2/1/2009,,,2/1/2010,,,2/1/2010,,,2/1/2011,,,2/1/2011,,,2/1/2012,,,2/1/2012,,,2/1/2013,,,2/1/2013,,,2/1/2014,0,,2/1/2014,4,,2/1/2015,,,2/1/2015,,,2/1/2016,,,2/1/2016,,,2/1/2017,,,2/1/2017,,,2/1/2018,0,,2/1/2018,0,,2/1/2019,,,2/1/2019,,2/1
1,2/2,2/2/2008,,,2/2/2008,,,2/2/2009,,,2/2/2009,,,2/2/2010,,,2/2/2010,,,2/2/2011,,,2/2/2011,,,2/2/2012,,,2/2/2012,,,2/2/2013,,,2/2/2013,,,2/2/2014,0,,2/2/2014,2,,2/2/2015,,,2/2/2015,,,2/2/2016,,,2/2/2016,,,2/2/2017,,,2/2/2017,,,2/2/2018,,,2/2/2018,,,2/2/2019,,,2/2/2019,,2/2
1,2/3,2/3/2008,,,2/3/2008,,,2/3/2009,,,2/3/2009,,,2/3/2010,,,2/3/2010,,,2/3/2011,,,2/3/2011,,,2/3/2012,,,2/3/2012,,,2/3/2013,,,2/3/2013,,,2/3/2014,0,,2/3/2014,2,,2/3/2015,,,2/3/2015,,,2/3/2016,,,2/3/2016,,,2/3/2017,,,2/3/2017,,,2/3/2018,,,2/3/2018,,,2/3/2019,,,2/3/2019,,2/3
1,2/4,2/4/2008,,,2/4/2008,,,2/4/2009,,,2/4/2009,,,2/4/2010,,,2/4/2010,,,2/4/2011,,,2/4/2011,,,2/4/2012,,,2/4/2012,,,2/4/2013,,,2/4/2013,,,2/4/2014,0,,2/4/2014,0,,2/4/2015,,,2/4/2015,,,2/4/2016,,,2/4/2016,,,2/4/2017,,,2/4/2017,,,2/4/2018,,,2/4/2018,,,2/4/2019,,,2/4/2019,,2/4
1,2/5,2/5/2008,,,2/5/2008,,,2/5/2009,,,2/5/2009,,,2/5/2010,,,2/5/2010,,,2/5/2011,,,2/5/2011,,,2/5/2012,,,2/5/2012,,,2/5/2013,,,2/5/2013,,,2/5/2014,0,,2/5/2014,1,,2/5/2015,,,2/5/2015,,,2/5/2016,,,2/5/2016,,,2/5/2017,,,2/5/2017,,,2/5/2018,,,2/5/2018,,,2/5/2019,,,2/5/2019,,2/5
1,2/6,2/6/2008,,,2/6/2008,,,2/6/2009,,,2/6/2009,,,2/6/2010,,,2/6/2010,,,2/6/2011,,,2/6/2011,,,2/6/2012,,,2/6/2012,,,2/6/2013,,,2/6/2013,,,2/6/2014,0,,2/6/2014,-1,,2/6/2015,,,2/6/2015,,,2/6/2016,,,2/6/2016,,,2/6/2017,,,2/6/2017,,,2/6/2018,,,2/6/2018,,,2/6/2019,,,2/6/2019,,2/6
1,2/7,2/7/2008,,,2/7/2008,,,2/7/2009,,,2/7/2009,,,2/7/2010,,,2/7/2010,,,2/7/2011,,,2/7/2011,,,2/7/2012,,,2/7/2012,,,2/7/2013,,,2/7/2013,,,2/7/2014,0,,2/7/2014,0,,2/7/2015,,,2/7/2015,,,2/7/2016,,,2/7/2016,,,2/7/2017,,,2/7/2017,,,2/7/2018,,,2/7/2018,,,2/7/2019,,,2/7/2019,,2/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

